epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.781,4.62508,3.75548,3.22355,0.52599,0.05437,0.0107,0.00217,5.40709,7.31202,2.54698,0.0671019,0.000332305,0.000332305
2,237.677,4.10493,3.0428,2.64669,0.53872,0.08154,0.02851,0.00846,4.7355,6.61981,2.20382,0.0341,0.000663833,0.000663833
3,351.972,3.27032,2.45799,2.19386,0.28798,0.24894,0.13696,0.04191,3.40143,4.29464,1.63776,0.00109105,0.000988165,0.000988165
4,465.259,2.55431,1.91895,1.75782,0.55578,0.31764,0.35165,0.16005,2.77433,2.72089,1.3712,0.000975773,0.000975773,0.000975773
5,579.899,2.19821,1.62955,1.53557,0.5936,0.3729,0.39566,0.20279,2.64308,2.35727,1.30617,0.000957205,0.000957205,0.000957205
6,693.208,2.03164,1.47957,1.42482,0.58827,0.40551,0.42756,0.22971,2.47388,2.42078,1.24526,0.000933683,0.000933683,0.000933683
7,806.164,1.92099,1.38871,1.36699,0.62675,0.42063,0.44467,0.23347,2.4791,2.22847,1.23466,0.000905463,0.000905463,0.000905463
8,919.151,1.83559,1.31979,1.32508,0.61779,0.45135,0.48161,0.2681,2.37847,2.04969,1.20269,0.000872857,0.000872857,0.000872857
9,1032.14,1.7848,1.27628,1.2984,0.57736,0.46068,0.4625,0.25201,2.35914,2.40973,1.19343,0.00083622,0.00083622,0.00083622
10,1146.25,1.72702,1.22001,1.26982,0.54106,0.46135,0.45201,0.2568,2.32744,2.42578,1.17438,0.000795954,0.000795954,0.000795954
11,1258.54,1.67567,1.17204,1.23474,0.52579,0.48147,0.44611,0.25222,2.29164,2.40552,1.16502,0.0007525,0.0007525,0.0007525
12,1372.44,1.66119,1.15535,1.2273,0.57114,0.47239,0.46055,0.26283,2.27354,2.35657,1.15585,0.000706335,0.000706335,0.000706335
13,1486.43,1.62852,1.12959,1.21804,0.55763,0.50035,0.48417,0.28981,2.22275,2.29125,1.14265,0.000657963,0.000657963,0.000657963
14,1598.85,1.60928,1.10668,1.20575,0.57359,0.49203,0.46671,0.27113,2.22347,2.30947,1.14367,0.000607916,0.000607916,0.000607916
15,1712.99,1.58753,1.0952,1.19311,0.56296,0.51972,0.48885,0.278,2.20853,2.30072,1.13634,0.000556742,0.000556742,0.000556742
16,1826.54,1.57771,1.0834,1.19182,0.54914,0.52891,0.48956,0.28943,2.2028,2.47432,1.13743,0.000505,0.000505,0.000505
17,1939.63,1.53589,1.04587,1.1699,0.53616,0.53412,0.48674,0.28746,2.16944,2.13182,1.12338,0.000453258,0.000453258,0.000453258
18,2052.7,1.54281,1.04911,1.17304,0.56684,0.54038,0.49502,0.28462,2.19298,2.20141,1.13454,0.000402084,0.000402084,0.000402084
19,2165.73,1.5368,1.04302,1.1716,0.571,0.52577,0.49981,0.29213,2.16116,2.15443,1.12571,0.000352037,0.000352037,0.000352037
20,2279.35,1.5199,1.0238,1.16408,0.57684,0.53581,0.50937,0.2978,2.14496,2.16935,1.12424,0.000303665,0.000303665,0.000303665
21,2390.29,1.47578,1.02652,1.17876,0.55517,0.53671,0.49573,0.29271,2.15745,2.23755,1.12177,0.0002575,0.0002575,0.0002575
22,2500.67,1.46215,1.00831,1.17378,0.5616,0.53447,0.49534,0.29314,2.14702,2.07589,1.12099,0.000214046,0.000214046,0.000214046
23,2610.43,1.44728,0.99717,1.16707,0.56342,0.52565,0.49638,0.2959,2.16525,2.24617,1.12285,0.00017378,0.00017378,0.00017378
24,2720.67,1.43762,0.9835,1.15783,0.56992,0.51974,0.49439,0.29597,2.15395,2.19329,1.11932,0.000137143,0.000137143,0.000137143
25,2831.25,1.44045,0.98283,1.158,0.57659,0.53425,0.50152,0.30018,2.14758,2.19195,1.11535,0.000104537,0.000104537,0.000104537
26,2941.03,1.43177,0.97755,1.15966,0.58123,0.52795,0.49738,0.29614,2.15782,2.28576,1.11879,7.63174e-05,7.63174e-05,7.63174e-05
27,3050.67,1.43741,0.98409,1.16199,0.57311,0.5335,0.4974,0.29336,2.13978,2.21526,1.11573,5.2795e-05,5.2795e-05,5.2795e-05
28,3160.59,1.43401,0.97563,1.16164,0.57204,0.53254,0.49797,0.29438,2.13458,2.17946,1.11685,3.4227e-05,3.4227e-05,3.4227e-05
29,3269.97,1.41832,0.96216,1.14894,0.57245,0.53182,0.4981,0.29508,2.14103,2.20191,1.11653,2.08169e-05,2.08169e-05,2.08169e-05
30,3380.76,1.42306,0.96992,1.15292,0.57549,0.53872,0.5008,0.29733,2.13289,2.1542,1.11335,1.27117e-05,1.27117e-05,1.27117e-05
